Vendor,Primary_Category,Model_Type,License_Type,Special_Flags,Skill_Level,Best_For,Model,Modality,Key Features,Duration/Resolution,Controls,Speed,Pricing,License,Update Cadence,Distinctive Edge,Pro Tips,Drawbacks,Notable Sources,thumbnail_url
Amazon,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",Titan Image Generator v2,Text-to-Image; Image Editing,"An enterprise-focused model with features for image/color conditioning, background removal, and fine-tuning for subject consistency.",High-resolution still images,"API-driven with specific task types (e.g., TEXT_IMAGE, COLOR_GUIDED_GENERATION, BACKGROUND_REMOVAL)",Integrated into AWS; pay-as-you-go via Amazon Bedrock,Proprietary (AWS),v2 available since late 2024 / early 2025,"Offers advanced, reliable controls for maintaining brand consistency and other commercial use cases.","Requires an AWS account and technical integration; primarily designed for business and enterprise users, not casual creators.",,aws.amazon.com/blogs/aws/amazon-titan-image-generator-v2-is-now-available-in-amazon-bedrock/,,
Recraft,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Recraft AI,Text-to-Image; Graphic Design,"A native model focused on graphic design. Can create consistent image sets from a single prompt and export to JPG, PNG, and SVG. Includes tools for mockups, in-painting, and background removal.",High-resolution still images and vector graphics,Text prompts with advanced style and color palette controls,Free plan with daily credits; paid plans from $12/month for more credits and commercial rights,Proprietary SaaS,Active in 2025,"Unique ability to export to SVG for scalable vector graphics, making it a full design suite built around an AI model.",The UI is more complex than simpler image generators and is geared towards designers.,,recraft.ai,,
Leonardo.ai,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Marketing",Phoenix; Kino XL; Vision XL,Text-to-Image; Image Editing,"A platform with a suite of proprietary models: Phoenix for photorealism, Kino XL for cinematic styles, and Vision XL for portraits. Includes custom model training and a large community library.",High-resolution still images,Text prompts with advanced controls; supports custom fine-tuned models and 'Elements' for styling.,Freemium model with a daily allowance of tokens; paid plans start around $10/month for more tokens and features.,Proprietary SaaS,Active in 2025 with frequent model updates.,"Offers a diverse suite of powerful, specialized native models within a single, user-friendly platform.","The free tier has limitations, and the token-based system can be complex for new users.",,leonardo.ai,,
Reve,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Reve V1,Text-to-Image; Image Editing,Top-3 editing leaderboard (LMArena/Artificial Analysis); spatially intelligent layouts; multi-reference remix; region-aware editor,"High-resolution stills (multi-panel storyboards, blueprints)",Text prompts; brush/region selection; combine multiple references; API,Interactive cloud editor (seconds per edit on reve.com),API: $24/1000 text-to-image; $40/1000 remix/edit (750 credits per $); consumer app freemium,Proprietary SaaS (Reve),Editing model launched Oct 1 2025; rapid model cadence promised,Best-in-class controllable image editing with layout intelligence from a small team,,Invite-only beta for some features; no local deployment; diversity-first outputs can reduce deterministic control,blog.reve.com/posts/reve-editing-model; blog.fal.ai/reve-is-now-available-on-fal,
Google,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",Gemini 2.5 Flash Image (Nano-Banana),Text-to-Image; Image Editing,"Conversational image generation & editing with mask-aware updates, multi-turn refinement, typography improvements, and prompt-grounded revisions",Still images up to 2048×2048 (supports aspect ratios & animated GIF beta),Text or multimodal prompts; region masks; reference images; step-by-step editing history in AI Studio,Low-latency preview in Google AI Studio; optimized for sub-second edits via Gemini API Flash tier,Free preview in Google AI Studio; Vertex AI/Gemini API pay-as-you-go (charged per 1K image tokens),Proprietary (Google Gemini),Launched Oct 2025 with ongoing Nano-Banana preview updates,"Fast, iterative editing loop with strong prompt adherence and precise inpainting directly in chat UX",,"Preview access, watermarking/usage policies apply; enterprise billing details still evolving",developers.googleblog.com/en/introducing-gemini-2-5-flash-image/; ai.google.dev/gemini-api/docs/image-generation,
Google,IMAGE_GEN,Native Model,Proprietary,BETA,Enterprise,"Production,Hobbyists",Gemini 2.0 Flash Image Preview,Text-to-Image; Image Editing,Earlier Flash image model enabling rapid generation & mask-based edits with conversational workflow,Still images up to 1536×1536 (flexible aspect ratios),Text prompts; optional reference images; automatic mask suggestions; batch variations,Optimised for real-time responses in AI Studio chat,Available in AI Studio preview; Vertex AI per-token billing for enterprise,Proprietary (Google Gemini),Preview introduced mid-2025 with continual refinements,Quick draft generation for storyboards and marketing comps with conversational refinement,,Preview quality below Nano-Banana; limited documentation on advanced controls,ai.google.dev/gemini-api/docs/image-generation; lmarena.ai/leaderboard/image-edit,
OpenAI,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",DALL-E 2,Text-to-Image,"First breakthrough commercial text-to-image model with photorealistic capabilities, understanding of concepts and styles, and inpainting/outpainting features",1024x1024 resolution max,"Text prompts, image editing via inpainting, variations generation",~10-15 seconds per image on OpenAI servers,"$0.020 per image (1024x1024), $0.018 per image (512x512) via API",Proprietary (OpenAI API); commercial use allowed,"Released April 2022, superseded by DALL-E 3 in Oct 2023",First widely-accessible high-quality text-to-image AI; democratized AI art creation and established prompt engineering as a skill,,Lower resolution than competitors; sometimes struggles with hands and complex compositions; less prompt adherence than DALL-E 3,openai.com/dall-e-2,
OpenAI,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",DALL-E 3,Text-to-Image,"Major upgrade with native ChatGPT integration, superior prompt understanding, better composition and detail, improved handling of text within images","1024x1024 standard, 1024x1792 or 1792x1024 widescreen",Text prompts via ChatGPT or API; automatic prompt enhancement; aspect ratio selection; style controls,~20-40 seconds per image via ChatGPT; faster via API,Included in ChatGPT Plus ($20/mo); API pricing: $0.040-0.080 per image depending on quality/size,Proprietary (OpenAI); commercial use allowed for Plus/API users; attribution not required,Released October 2023; continuous improvements via ChatGPT updates,Best-in-class prompt adherence; seamless ChatGPT integration for conversational refinement; excellent at rendering text in images,,Limited to ChatGPT ecosystem or API (no standalone app); no img2img or inpainting yet; slower than some competitors,platform.openai.com/docs/guides/images,
Google,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",Imagen 3 / Nano Banana,Text-to-Image; Image Editing,"Google's flagship image model with exceptional photorealism, superior prompt understanding, advanced editing capabilities, and creative style range",Up to 2048x2048 high resolution,Text prompts; image editing via Gemini; style transfer; blend multiple images; aspect ratio controls,Fast generation (~5-10 seconds) via Gemini interface,Included in Gemini Advanced ($19.99/mo); free tier available in Gemini; API pricing via Google Cloud,Proprietary (Google); commercial use allowed on paid plans,Released 2025 (Imagen 3); Nano Banana nickname refers to editing variant,Best-in-class image editing with spatial intelligence; top-tier prompt adherence; superior at maintaining subject consistency across edits,Remove the original subject before adding the new character; Nano Banana swaps fail when you try to overwrite in a single step.,Limited API access compared to competitors; some safety filters can be restrictive; primarily accessible through Gemini ecosystem,blog.google/products/gemini,
Adobe,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",Firefly Image Model 3,Text-to-Image; Image Editing,"Enterprise-focused model with commercial-safe training, excellent text rendering, Photoshop integration, and reference image capabilities",Up to 2048x2048 resolution; 4K upscaling available,Text prompts; reference images; style presets; Photoshop integration; generative fill; generative expand,Fast generation (~10-15 seconds) on Adobe cloud; Photoshop integration near real-time,Adobe Creative Cloud subscription ($54.99/mo) or standalone Firefly ($4.99/mo for 100 credits),Proprietary; Adobe provides IP indemnification for commercial use; trained only on licensed content,Released 2024; regular updates alongside Creative Cloud releases,Only commercially-safe model with full IP indemnification; seamless Creative Cloud integration; best for enterprise/brands needing legal protection,,More expensive than consumer options; requires Adobe ecosystem; less creative/artistic than Midjourney,adobe.com/products/firefly,
Adobe,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",Firefly Image Model 5,Text-to-Image; Image Editing,"Latest flagship with native 4MP photorealistic output, advanced prompt understanding, improved diversity and representation, enhanced structure control",Native 4MP (2048x2048) resolution with HDR-ready output,Text prompts with enhanced natural language; reference images; structure controls; style library; Photoshop generative AI integration,Optimized inference ~5-10 seconds for 4MP images on Adobe cloud,Included in Adobe Creative Cloud plans or Firefly Premium ($4.99/mo); generative credits system (100 credits/mo standard),Proprietary with full IP indemnification; commercial-safe training data; enterprise licensing available,Released October 2025 at Adobe MAX; continuous model improvements,Most advanced commercially-safe model; native 4MP generation; best diversity in outputs; full legal protection for commercial work,,Premium pricing; ecosystem lock-in; may be overly 'safe' for artistic experimentation; content filters can limit creative freedom,news.adobe.com/news/2025/10/adobe-max-2025-firefly,
Stability AI,IMAGE_GEN,Open-Source,Open-Source,,Intermediate,"Production,Hobbyists",Stable Diffusion XL (SDXL),Text-to-Image,"Open-source flagship with 6.6B parameters, dual-model architecture (base + refiner), native 1024x1024 generation, LoRA support, massive community ecosystem",1024x1024 native resolution (0.5-2MP range),"Text prompts; negative prompts; LoRA fine-tuning; ControlNet support; extensive community tools (A1111, ComfyUI)",Base model ~30s on consumer GPU (RTX 3090); refiner adds ~15s; optimized versions much faster,Free open-source (OpenRAIL++ license); commercial use allowed; no API fees if self-hosted; cloud APIs ~$0.001-0.003 per image,Open-source (CreativeML OpenRAIL++); full commercial use; can be modified and fine-tuned; weights freely downloadable,Released July 2023; community continues fine-tuning and optimization; succeeded by SD3 but still widely used,"Most capable open-source base model; enormous ecosystem of extensions, LoRAs, ControlNets; runs on consumer hardware; free to use",,Requires technical setup; slower than cloud services; quality varies significantly with prompt engineering; needs powerful GPU,stability.ai/stable-image; huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,
Stability AI,IMAGE_GEN,Open-Source,Open-Source,,Intermediate,"Production,Hobbyists",Stable Diffusion 3 Medium,Text-to-Image,"Improved architecture with better prompt adherence, multi-modal understanding, enhanced composition, runs efficiently on consumer GPUs",Variable resolution 0.25-2MP range,Text prompts; negative prompts; community tooling support,~20-30 seconds on consumer GPU (10GB VRAM sufficient),Free open-source (Stability AI Membership License); commercial use allowed; API via Stability AI platform,Open-source with membership requirement for commercial use; weights freely available for research,Released June 2024 (preview) / October 2024 (full release),Significantly improved prompt adherence over SDXL; better text rendering; more efficient than SD3 Large; balances quality and accessibility,,Smaller model means some quality trade-offs vs SD3 Large; community ecosystem still developing vs SDXL,huggingface.co/stabilityai/stable-diffusion-3-medium,
Playground AI,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Playground v2.5,Text-to-Image,"Community-favorite open model with vibrant colors, strong aesthetics, user-friendly interface, free generous daily quota",1024x1024 default resolution,Text prompts via web UI; multiple aspect ratios; guidance scale; seed control; batch generation,~5-10 seconds per image on Playground servers; ~20s on local RTX 3090,Free tier: 500 images/day; Pro $12/mo (unlimited relaxed); API $0.002-0.005 per image,Open-source model weights (custom license); commercial use allowed; platform has separate ToS,v2.5 released February 2024; active development and community engagement,Exceptional color vibrancy and aesthetic appeal; very generous free tier; user-friendly interface for beginners,,Can be overly saturated for photorealism; smaller community than SDXL/SD3; web platform can have queue times,playgroundai.com; huggingface.co/playgroundai/playground-v2.5-1024px-aesthetic,
Midjourney,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Marketing",Midjourney v5,Text-to-Image,"Milestone release with photorealistic capabilities, improved hands/faces, higher resolution, better prompt interpretation, style diversity",1024x1024+ resolution; upscale to 2048x2048,Text prompts with --v 5 parameter; aspect ratios; stylize values; chaos control; seed; remix mode,~30-60 seconds per image on standard queue; faster on fast mode,"Basic $10/mo (3.3h fast/mo), Standard $30/mo (15h fast/mo), Pro $60/mo (30h fast/mo)",Proprietary Discord/web platform; commercial use requires Pro plan for >$1M revenue companies,Released March 2023; maintained alongside newer versions for style preference,Watershed moment for AI art quality; photorealistic humans; strong at artistic interpretation; huge creative community,,Discord-first interface can be overwhelming; no local install; subscription required after free trial; queue times on basic plan,midjourney.com,
Midjourney,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Marketing",Niji v6,Text-to-Image (Anime/Manga),"Specialized anime and manga model developed with Spellbrush, tuned for Japanese illustration styles, character consistency, vibrant colors",1024x1024+ resolution; upscale to 2048x2048,Text prompts with --niji 6; style parameters; character references; expressive/cute/scenic modes,~30-60 seconds per generation on Midjourney servers,"Same as Midjourney plans: Basic $10/mo, Standard $30/mo, Pro $60/mo",Proprietary; same commercial terms as base Midjourney,Niji v6 released June 2024 alongside main v6,Best-in-class anime/manga generation; captures Japanese illustration aesthetics; strong character consistency; active anime creator community,,Specialized for anime only; requires Midjourney subscription; Discord/web interface; can over-stylize prompts not meant for anime,nijijourney.com/en,
Microsoft,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",MAI-Image-1,Text-to-Image,"Microsoft's first in-house image generation model; debuts in top 10 on LMArena; excels at photorealistic imagery with superior lighting physics (bounce light, reflections, shadows); strong at landscapes, architectural renders, and realistic human portraits",High-resolution outputs up to 2048x2048; photorealistic quality with HDR-ready rendering,Text prompts with natural language; integrated into Microsoft ecosystem; supports style controls and composition guidance,Fast generation: ~10-20 seconds per image on Microsoft cloud infrastructure; priority queues for enterprise users,Available via Microsoft AI platform; pricing TBA (likely consumption-based similar to Azure OpenAI); early access program active,Proprietary (Microsoft); commercial use rights depend on licensing tier; integration with Microsoft 365 and Azure services,Announced and released October/November 2025; Microsoft's first major push into image generation after focusing on text models,Best-in-class photorealism and lighting physics; superior to most competitors in bounce light and reflections; Microsoft ecosystem integration; enterprise-grade reliability,,New to market with limited track record; availability may be restricted initially; pricing structure not fully transparent; requires Microsoft account,microsoft.ai/news/introducing-mai-image-1; theverge.com/microsoft-ai-image-generator; zdnet.com/mai-image-1,
OpenAI,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",gpt-image-1,Text-to-Image; Image-to-Image,OpenAI's latest flagship image generation model (April 2025); same model powering ChatGPT image generation; superior text rendering in images; creates diverse styles from photorealistic to artistic; leverages world knowledge; follows custom guidelines; supports image input for image-to-image transformations,Variable resolutions with quality controls (low/medium/high); supports square and custom aspect ratios; background transparency control; high-quality outputs,Text prompts via API; image input for image-to-image generation; quality/size/format controls; moderation parameters; background transparency toggle; custom style guidelines,Fast generation: ~15-30 seconds per image; optimized API infrastructure,"API pricing: $5/1M text tokens, $10/1M image input tokens, $40/1M image output tokens (~$0.02 low quality, $0.07 medium, $0.19 high quality per image); requires organization verification",Proprietary (OpenAI); API access via verified organizations; commercial use allowed; outputs owned by user; also available via Azure AI Foundry,Released April 2025; replaces DALL-E 3 as flagship model; continuous improvements; same model as ChatGPT image generation,Best-in-class text rendering; diverse style capabilities; image-to-image support; world knowledge integration; custom guidelines following; transparent pricing; API-first design,,Requires organization verification for API access; newer model with less community tooling than DALL-E 3; API-only (not in ChatGPT interface yet for free users),platform.openai.com/docs/models/gpt-image-1; community.openai.com/t/new-gpt-image-model-in-the-api/1239462; azure.microsoft.com/en-us/blog/unveiling-gpt-image-1,
OpenAI,IMAGE_GEN,Native Model,Proprietary,,Enterprise,"Production,Hobbyists",GPT-4o Image Generation,Text-to-Image,Native image generation integrated directly into ChatGPT; superior text rendering in images; context-aware generation from conversation history; leverages GPT-4o's knowledge base and chat context for intelligent prompt understanding,1024x1024 standard resolution; 1024x1792 or 1792x1024 widescreen options; high-quality outputs,Conversational text prompts via ChatGPT interface; automatic prompt enhancement; multi-turn refinement; aspect ratio selection; style guidance,Fast generation: ~15-30 seconds per image; integrated into ChatGPT workflow with seamless experience,Included with ChatGPT Plus ($20/mo) and ChatGPT Pro ($200/mo); API pricing TBA; higher allocation for Pro tier users,Proprietary (OpenAI); commercial use allowed for Plus/Pro subscribers; outputs owned by user; attribution not required,Rolling out 2025 to Plus/Pro users; continuous improvements via ChatGPT updates; newer model with better detail promised soon,Best text rendering in images across all models; context-aware from conversation; seamless ChatGPT integration; conversational refinement without leaving chat,,Limited to ChatGPT ecosystem; no standalone app; API details not fully available; newer so less community knowledge/tools than DALL-E 3,openai.com/index/introducing-4o-image-generation/; community.openai.com/4o-image-generation,
Tencent,IMAGE_GEN,Open-Source,Open-Source,REGIONAL,Intermediate,"Production,Hobbyists",Hunyuan Image 3.0,Text-to-Image,Open-source multimodal image generator with 80 billion parameters (largest open-source image model); Chinese tech giant's flagship image AI; strong bilingual support (Chinese/English); high-quality photorealistic and artistic generation,High-resolution outputs; supports multiple aspect ratios; 80B parameter model delivers exceptional detail and coherence,Text prompts in Chinese or English; multimodal inputs; open-source weights allow fine-tuning and customization; API available via Tencent cloud,Generation speed depends on hardware; optimized for multi-GPU setups; cloud API offers managed inference; ~30-60 seconds for high-quality images,Free open-source model weights on Hugging Face; Tencent cloud API with consumption-based pricing; enterprise deals available,Open-source (Apache 2.0 or similar); commercial use allowed; weights freely available; Tencent cloud offers hosted version,"Released September 28, 2025; major flagship release from Tencent; ongoing updates expected",Largest open-source image model (80B params); excellent Chinese language support; free weights enable customization; Tencent backing ensures long-term development,,Requires significant GPU resources (80B model); documentation primarily in Chinese; less Western community support than Stable Diffusion/FLUX,skywork.ai/blog/tencent-hunyuan-releases-3-0; techinasia.com/tencent-hunyuan-image-30; huggingface.co/tencent/HunyuanImage,
Magnific AI,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Magnific AI Upscaler,Image Upscaling & Enhancement,"Generative AI upscaler with 16x magnification; creativity slider for AI hallucination control; natural language prompts; HDR and resemblance controls; works with portraits, illustrations, landscapes, 3D renders","Up to 16x upscale (77MP maximum); 10,752x7,168px output capability",Creativity slider; HDR control; Resemblance setting; Natural language prompts,Processing time varies by resolution and settings,"Pro: $39/month (2,500 tokens, 200 normal + 100 large upscales); Premium: $99/month (6,500 tokens); Business: $299/month (higher allocation); Annual plans: 2 months free; No free trial; No refunds",Proprietary; No refunds due to GPU costs,Regular updates with new features,Generative upscaling adds new details via AI hallucination; extremely high resolution output (77MP); prompt-guided enhancement,,No refunds; expensive ($39/mo+); can produce artifacts if settings too high; no PayPal/crypto payment,magnific.ai; topazlabs.com/learn/bloom-vs-magnific,
Topaz Labs,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Topaz Photo AI,Image Enhancement & Editing,All-in-one photo enhancer; AI denoise and sharpening; face recovery and selection; RAW file processing; batch processing; Photoshop/Lightroom plugins; 11 specialized AI models; removes blur and compression artifacts,Enhances existing image quality; no upscaling focus,Denoise levels; Sharpen adjustments; Face selection; Detail recovery controls; Batch operations,Fast processing; optimized for batch operations,Subscription: $199/year ($17/mo monthly); $599/year Pro tier; Includes all features and AI models,Proprietary; One-time purchase or subscription,Regular AI model updates; annual upgrade option,"All-in-one solution for photographers; combines denoise, sharpen, and face recovery; RAW file support; integrates with Photoshop/Lightroom; batch processing",,Learning curve for optimization; requires good source images; not designed for upscaling (use Gigapixel instead),topazlabs.com/topaz-photo; elegantthemes.com/blog/design/topaz-photo-ai,
Topaz Labs,IMAGE_GEN,Native Model,Proprietary,,Intermediate,"Production,Hobbyists",Topaz Gigapixel AI,Image Upscaling,"Specialized AI upscaling to 16x resolution; multiple AI models including exclusive ""Recover"" model for generative enhancement; CMYK support and color space conversion; print-ready workflows; 4-view comparison tool; batch processing; handles RAW files (CR2, NEF, DNG)",Up to 16x upscaling (600% enlargement); optimized for print and large displays,Multiple AI models selection; Upscale factor (2x to 16x); Suppression controls; Face refinement,Processing speed varies by resolution and model selected,"Subscription: $149/year ($12/mo monthly); $499/year Pro tier; Cross-platform (Windows, macOS)",Proprietary; One-time purchase or subscription,Regular AI model updates; annual upgrade option,"Industry-leading upscaling to 16x; exclusive ""Recover"" model adds generative details; CMYK support for print workflows; handles RAW files; 4-view comparison",,Best for upscaling only (not general enhancement); slower than Bloom for AI art; learning curve for model selection,topazlabs.com/topaz-gigapixel; topazlabs.com/topaz-photo-vs-topaz-gigapixel,
Topaz Labs,IMAGE_GEN,Native Model,Proprietary,,Beginner,"Hobbyists,Social Media",Topaz Bloom,Creative Image Upscaling (AI Art),Cloud-based creative upscaling for AI-generated images; advanced diffusion model; creativity slider for output control; text prompt capability; generates up to 4 variations per image; unlimited renders (no credits); iOS app; simpler interface than competitors,Creative upscaling optimized for AI art and digital illustrations,Creativity slider; Optional text prompts; 4 variation generator; Built-in preview,Cloud-based processing; fast render times,"Free tier: $0/mo (10 images, no watermark); Paid: $25/mo (unlimited renders, includes Topaz Express); Annual: $140/year; Commercial use on paid plans",Proprietary; Commercial use permitted on paid plans,Regular cloud updates; continuous improvements,Specialized for AI-generated art; unlimited renders vs credits; 4 variations per image; simpler than Magnific ($25 vs $39); iOS app; no watermarks on free tier; includes Topaz Express tools,,Cloud-only (requires internet); less control than Magnific; optimized for AI art (not photos); fewer advanced parameters,topazlabs.com/learn/bloom-vs-magnific; topazlabs.com/pricing,
